Team;GW1;GW2;GW3;GW4;GW5;GW6;GW7;GW8;GW9;GW10;GW11;GW12;GW13;GW14;GW15;GW16;GW17;GW18;GW19;GW20;GW21;GW22;GW22;GW23;GW24;GW25;GW26;GW27;GW28;GW29;GW30;GW31;GW32;GW33;GW34;GW34;GW35;GW36;GW37;GW37;GW38
ARS;LEI;STK;LIV;BOU;CHE;WBA;BHA;WAT;EVE;SWA;MCI;TOT;BUR;HUD;MUN;SOU;WHU;NEW;LIV;CRY;WBA;CHE;;BOU;CRY;SWA;EVE;TOT;MCI;BHA;WAT;;STK;SOU;HUD;;LEI;BUR;MUN;WHU;NEW
BHA;MCI;LEI;WAT;WBA;BOU;NEW;ARS;EVE;WHU;SOU;SWA;STK;MUN;CRY;LIV;HUD;TOT;BUR;WAT;CHE;NEW;BOU;;WBA;CHE;SOU;WHU;STK;SWA;ARS;VE;;LEI;HUD;LIV;MCI;;MUN;BUR;TOT;CRY
BOU;WBA;WAT;MCI;ARS;BHA;EVE;LEI;TOT;STK;CHE;NEW;HUD;SWA;UR;SOU;CRY;MUN;LIV;MCI;WHU;EVE;BHA;;ARS;WHU;CHE;STK;HUD;NEW;LEI;TOT;WBA;WAT;CRY;BUR;SWA;;SOU;MUN;;LIV
BUR;CHE;WBA;TOT;CRY;LIV;HUD;EVE;WHU;MCI;NEW;SOU;SWA;ARS;BOU;LEI;WAT;STK;BHA;BUR;MUN;HUD;LIV;;CRY;MUN;NEW;MCI;SWA;SOU;EVE;HU;;WBA;WAT;BOU;ARS;BHA;STK;CHE;;LEI
CHE;BUR;TOT;EVE;LEI;ARS;STK;MCI;CRY;WAT;BOU;MUN;WBA;LIV;SWA;NEW;WHU;HUD;SOU;EVE;BHA;STK;ARS;;LEI;BHA;BOU;WAT;WBA;MUN;MCI;CRY;;TOT;WHU;NEW;HUD;;LIV;SWA;BUR;SOU
CRY;HUD;LIV;SWA;BUR ;SOU;MCI;MUN;CHE;NEW;WHU;TOT;EVE;STK;BHA;WBA;BOU;WAT;LEI;SWA;ARS;MCI;SOU;;BUR;ARS;WHU;NEW;EVE;TOT;MUN;CHE;HUD;LIV;BOU;WBA;;STK;LEI;WAT;;BHA
EVE;STK;MCI;CHE;TOT;MUN;BOU;BUR;BHA;ARS;LEI;WAT;CRY;SOU;WHU;HUD;LIV;NEW;SWA;CHE;WBA;BOU;MUN;;TOT;WBA;LEI;ARS;CRY;WAT;BUR;BHA;STK;MCI;LIV;WHU;;SOU;HUD;NEW;;SWA
HUD;CRY;NEW;SOU;WHU;LEI;BUR;TOT;SWA;MUN;LIV;WBA;BOU;MCI;ARS;EVE;BHA;CHE;WAT;SOU;STK;BUR;LEI;;WHU;STK;LIV;MUN;BOU;WBA;TOT;SWA;CRY;NEW;BHA;ARS;;;CHE;MCI;EVE;WAT
LEI;ARS;BHA;MUN;CHE;HUD;LIV;BOU;WBA;SWA;EVE;STK;MCI;WHU;TOT;BUR;NEW;SOU;CRY;MUN;WAT;LIV;HUD;;LEI;WAT;EVE;SWA;MCI;STK;BOU;WBA;;BHA;NEW;TOT;ARS;;WHU;CRY;SOU;BUR
LIV;WAT;CRY;ARS;MCI;BUR;LEI;NEW;MUN;TOT;HUD;WHU;SOU;CHE;STK;BHA;EVE;WBA;BOU;ARS;SWA;LEI;BUR;;MCI;SWA;HUD;TOT;SOU;WHU;NEW;MUN;WAT;CRY;EVE;BHA;;CHE;STK;WBA;;BOU
MCI;BHA;EVE;BOU;LIV;WAT;CRY;CHE;STK;BUR;WBA;ARS;LEI;HUD;SOU;WHU;MUN;SWA;TOT;BOU;NEW;CRY;WAT;;LIV;NEW;WBA;BUR;LEI;ARS;CHE;STK;;EVE;MUN;SOU;;BHA;HUD;WHU;SWA;TOT
MUN;WHU;SWA;LEI;STK;EVE;SOU;CRY;LIV;HUD;TOT;CHE;NEW;BHA;WAT;ARS;MCI;BOU;WBA;LEI;BUR;SOU;EVE;;STK;BUR;TOT;HUD;NEW;CHE;CRY;LIV;;SWA;MCI;WAT;WHU;;BHA;ARS;BOU;WBA
NEW;TOT;HUD;WHU;SWA;STK;BHA;LIV;SOU;CRY;BUR;BOU;MUN;WAT;WBA;CHE;LEI;EVE;ARS;WHU;MCI;BHA;STK;;SWA;MCI;BUR;CRY;MUN;BOU;LIV;SOU;;HUD;LEI;CHE;;TOT;WAT;WBA;EVE;ARS
SOU;SWA;WHU;HUD;WAT;CRY;MUN;STK;NEW;WBA;BHA;BUR;LIV;EVE;MCI;BOU;ARS;LEI;CHE;HUD;TOT;MUN;CRY;;WAT;TOT;BHA;WBA;LIV;BUR;STK;NEW;;WHU;ARS;MCI;SWA;;EVE;BOU;LEI;SOU
STK;EVE;ARS;WBA;MUN;NEW;CHE;SOU;MCI;BOU;WAT;LEI;CHA;CRY;LIV;SWA;TOT;BUR;WHU;WBA;HUD;CHE;NEW;;MUN;HUD;WAT;BOU;BHA;LEI;SOU;MCI;EVE;ARS;TOT;SWA;;CRY;LIV;BUR;;WHU
SWA;SOU;MUN;CRY;NEW;TOT;WAT;WHU;HUD;LEI;ARS;BHA;BUR;BOU;CHE;STK;WBA;MCI;EVE;CRY;LIV;WAT;TOT;;NEW;LIV;ARS;LEI;BUR;BHA;WHU;HUD;;MUN;WBA;STK;;SOU;BOU;CHE;MCI;EVE
TOT;NEW;CHE;BUR;EVE;SWA;WHU;HUD;BOU;LIV;MUN;CRY;ARS;WBA;LEI;WAT;STK;BHA;MCI;BUR;SOU;;SWA;WHU;EVE;SOU;MUN;LIV;ARS;CRY;HUD;BOU;;CHE;STK;LEI;NEW;;WBA;WAT;BHA;MCI
WAT;LIV;BOU;BHA;SOU;MCI;SWA;WBA;ARS;CHE;STK;EVE;WHU;NEW;MUN;TOT;BUR;CRY;HUD;BHA;LEI;SWA;MCI;;SOU;LEI;STK;CHE;WHU;EVE;WBA;ARS;LIV;BOU;BUR;MUN;;NEW;TOT;CRY;;HUD
WBA;BOU;BUR;STK;BHA;WHU;ARS;WAT;LEI;SOU;MCI;HUD;CHE;TOT;NEW;CRY;SWA;LIV;MUN;STK;EVE;ARS;WHU;;BHA;EVE;MCI;SOU;CHE;HUD;WAT;LEI;BOU;BUR;SWA;CRY;;TOT;NEW;LIV;;MUN
WHU;MUN;SOU;NEW;HUD;WBA;TOT;SWA;BUR;BHA;CRY;LIV;WAT;LEI;EVE;MCI;CHE;ARS;STK;NEW;BOU;;WBA;TOT;HUD;BOU;CRY;BHA;WAT;LIV;SWA;BUR;;SOU;CHE;EVE;;MUN;LEI;MCI;ARS;STK
