"FirstName_1","Surname_1","PositionsList","Team","index"
"Petr","Cech","GLK","ARS",1
"Matt","Macey","GLK","ARS",2
"Damian Emiliano","Martinez","GLK","ARS",3
"David","Ospina","GLK","ARS",4
"Tim","Krul","GLK","BHA",5
"Niki","Maenpaa","GLK","BHA",6
"Mathew","Ryan","GLK","BHA",7
"Asmir","Begovic","GLK","BOU",8
"Artur","Boruc","GLK","BOU",9
"Adam","Federici","GLK","BOU",10
"Aaron","Ramsdale","GLK","BOU",11
"Tom","Heaton","GLK","BUR",12
"Adam","Legzdins","GLK","BUR",13
"Anders","Lindegaard","GLK","BUR",14
"Nick","Pope","GLK","BUR",15
"Paul","Robinson","GLK","BUR",16
"Willy","Caballero","GLK","CHE",17
"Thibaut","Courtois","GLK","CHE",18
"","Eduardo","GLK","CHE",19
"Wayne","Hennessey","GLK","CRY",20
"Dion","Henry","GLK","CRY",21
"Julian","Speroni","GLK","CRY",22
"Jordan","Pickford","GLK","EVE",23
"Joel","Robles","GLK","EVE",24
"Maarten","Stekelenburg","GLK","EVE",25
"Joel","Coleman","GLK","HUD",26
"Robert","Green","GLK","HUD",27
"Jonas","Lossl","GLK","HUD",28
"Ben","Hamer","GLK","LEI",29
"Eldin","Jakupovic","GLK","LEI",30
"Kasper","Schmeichel","GLK","LEI",31
"Loris","Karius","GLK","LIV",32
"Simon","Mignolet","GLK","LIV",33
"Danny","Ward","GLK","LIV",34
"Claudio","Bravo","GLK","MCI",35
"","Ederson","GLK","MCI",36
"de","Gea","GLK","MUN",37
"Joel","Pereira","GLK","MUN",38
"Sergio","Romero","GLK","MUN",39
"Karl","Darlow","GLK","NEW",40
"Martin","Dubravka","GLK","NEW",41
"Robert","Elliot","GLK","NEW",42
"Freddie","Woodman","GLK","NEW",43
"Fraser","Forster","GLK","SOU",44
"Alex","McCarthy","GLK","SOU",45
"Stuart","Taylor","GLK","SOU",46
"Jack","Butland","GLK","STK",47
"Lee","Grant","GLK","STK",48
"Jakob","Haugaard","GLK","STK",49
"Lukasz","Fabianski","GLK","SWA",50
"Erwin","Mulder","GLK","SWA",51
"Kristoffer","Nordfeldt","GLK","SWA",52
"Paulo","Gazzaniga","GLK","TOT",53
"Hugo","Lloris","GLK","TOT",54
"Michel","Vorm","GLK","TOT",55
"Alfie","Whiteman","GLK","TOT",56
"Daniel","Bachmann","GLK","WAT",57
"Heurelho","Gomes","GLK","WAT",58
"Orestis","Karnezis","GLK","WAT",59
"Costel","Pantilimon","GLK","WAT",60
"Ben","Foster","GLK","WBA",61
"Boaz","Myhill","GLK","WBA",62
"Alex","Palmer","GLK","WBA",63
"","Adrian","GLK","WHU",64
"Joe","Hart","GLK","WHU",65
"Darren","Randolph","GLK","WHU",66
"Nathan","Trott","GLK","WHU",67
"Hector","Bellerin","DEF","ARS",68
"Calum","Chambers","DEF","ARS",69
"Mathieu","Debuchy","DEF","ARS",70
"","Gabriel","DEF","ARS",71
"Rob","Holding","DEF","ARS",72
"Carl","Jenkinson","DEF","ARS",73
"Sead","Kolasinac","DEF","ARS",74
"Laurent","Koscielny","DEF","ARS",75
"Konstantinos","Mavropanos","DEF","ARS",76
"Per","Mertesacker","DEF","ARS",77
"Nacho","Monreal","DEF","ARS",78
"Shkodran","Mustafi","DEF","ARS",79
"Gaetan","Bong","DEF","BHA",80
"","Bruno","DEF","BHA",81
"Shane","Duffy","DEF","BHA",82
"Lewis","Dunk","DEF","BHA",83
"Connor","Goldson","DEF","BHA",84
"Uwe","Hunemeier","DEF","BHA",85
"Liam","Rosenior","DEF","BHA",86
"Ezequiel","Schelotto","DEF","BHA",87
"Markus","Suttner","DEF","BHA",88
"Adam","Smith","DEF","BOU",89
"Nathan","Ake","DEF","BOU",90
"Brad","Smith","DEF","BOU",91
"Charlie","Daniels","DEF","BOU",92
"Simon","Francis","DEF","BOU",93
"Tyrone","Mings","DEF","BOU",94
"Jack","Simpson","DEF","BOU",95
"Steve","Cook","DEF","BOU",96
"Phil","Bardsley","DEF","BUR",97
"Kevin","Long","DEF","BUR",98
"Matthew","Lowton","DEF","BUR",99
"Ben","Mee","DEF","BUR",100
"James","Tarkowski","DEF","BUR",101
"Charlie","Taylor","DEF","BUR",102
"Stephen","Ward","DEF","BUR",103
"Marcos","Alonso","DEF","CHE",104
"Cesar","Azpilicueta","DEF","CHE",105
"Gary","Cahill","DEF","CHE",106
"Andreas","Christensen","DEF","CHE",107
"David","Luiz","DEF","CHE",108
"","Emerson","DEF","CHE",109
"Victor","Moses","DEF","CHE",110
"Antonio","Rudiger","DEF","CHE",111
"Dujon","Sterling","DEF","CHE",112
"Fikayo","Tomori","DEF","CHE",113
"Davide","Zappacosta","DEF","CHE",114
"Scott","Dann","DEF","CRY",115
"Damien","Delaney","DEF","CRY",116
"Timothy","Fosu-Mensah","DEF","CRY",117
"Jaroslaw","Jach","DEF","CRY",118
"Martin","Kelly","DEF","CRY",119
"Jairo","Riedewald","DEF","CRY",120
"Mamadou","Sakho","DEF","CRY",121
"Jeffrey","Schlupp","DEF","CRY",122
"Pape","Souare","DEF","CRY",123
"James","Tomkins","DEF","CRY",124
"van","Aanholt","DEF","CRY",125
"Joel","Ward","DEF","CRY",126
"Leighton","Baines","DEF","EVE",127
"Seamus","Coleman","DEF","EVE",128
"Funes","Mori","DEF","EVE",129
"Mason","Holgate","DEF","EVE",130
"Phil","Jagielka","DEF","EVE",131
"Michael","Keane","DEF","EVE",132
"Jonjoe","Kenny","DEF","EVE",133
"Eliaquim","Mangala","DEF","EVE",134
"Cuco","Martina","DEF","EVE",135
"Matthew","Pennington","DEF","EVE",136
"Ashley","Williams","DEF","EVE",137
"Martin","Cranie","DEF","HUD",138
"Florent","Hadergjonaj","DEF","HUD",139
"Michael","Hefele","DEF","HUD",140
"Mark","Hudson","DEF","HUD",141
"Terence","Kongolo","DEF","HUD",142
"Chris","Lowe","DEF","HUD",143
"Scott","Malone","DEF","HUD",144
"Christopher","Schindler","DEF","HUD",145
"Tommy","Smith","DEF","HUD",146
"Jon Gorenc","Stankovic","DEF","HUD",147
"","Zanka","DEF","HUD",148
"Yohan","Benalouane","DEF","LEI",149
"Benjamin","Chilwell","DEF","LEI",150
"Aleksandar","Dragovic","DEF","LEI",151
"Christian","Fuchs","DEF","LEI",152
"Robert","Huth","DEF","LEI",153
"Harry","Maguire","DEF","LEI",154
"Wes","Morgan","DEF","LEI",155
"Danny","Simpson","DEF","LEI",156
"Trent","Alexander-Arnold","DEF","LIV",157
"Nathaniel","Clyne","DEF","LIV",158
"Jon","Flanagan","DEF","LIV",159
"Joseph","Gomez","DEF","LIV",160
"Ragnar","Klavan","DEF","LIV",161
"Dejan","Lovren","DEF","LIV",162
"Joel","Matip","DEF","LIV",163
"James","Milner","DEF","LIV",164
"Alberto","Moreno","DEF","LIV",165
"Andrew","Robertson","DEF","LIV",166
"van","Dijk","DEF","LIV",167
"Oluwatosin","Adarabioyo","DEF","MCI",168
"","Danilo","DEF","MCI",169
"Aleksandar","Kolarov","DEF","MCI",170
"Vincent","Kompany","DEF","MCI",171
"Aymeric","Laporte","DEF","MCI",172
"Benjamin","Mendy","DEF","MCI",173
"Nicolas","Otamendi","DEF","MCI",174
"John","Stones","DEF","MCI",175
"Kyle","Walker","DEF","MCI",176
"Eric","Bailly","DEF","MUN",177
"Daley","Blind","DEF","MUN",178
"Matteo","Darmian","DEF","MUN",179
"Phil","Jones","DEF","MUN",180
"Victor","Lindelof","DEF","MUN",181
"Marcos","Rojo","DEF","MUN",182
"Luke","Shaw","DEF","MUN",183
"Chris","Smalling","DEF","MUN",184
"Axel","Tuanzebe","DEF","MUN",185
"Antonio","Valencia","DEF","MUN",186
"Ciaran","Clark","DEF","NEW",187
"Paul","Dummett","DEF","NEW",188
"","Gamez","DEF","NEW",189
"Massadio","Haidara","DEF","NEW",190
"Grant","Hanley","DEF","NEW",191
"Jamaal","Lascelles","DEF","NEW",192
"Florian","Lejeune","DEF","NEW",193
"Javier","Manquillo","DEF","NEW",194
"Chancel","Mbemba","DEF","NEW",195
"DeAndre","Yedlin","DEF","NEW",196
"Jan","Bednarek","DEF","SOU",197
"Ryan","Bertrand","DEF","SOU",198
"","Cedric","DEF","SOU",199
"Wesley","Hoedt","DEF","SOU",200
"Sam","McQueen","DEF","SOU",201
"Jeremy","Pied","DEF","SOU",202
"Jack","Stephens","DEF","SOU",203
"Matt","Targett","DEF","SOU",204
"Maya","Yoshida","DEF","SOU",205
"Moritz","Bauer","DEF","STK",206
"Geoff","Cameron","DEF","STK",207
"Thomas","Edwards","DEF","STK",208
"Glen","Johnson","DEF","STK",209
"Martins","Indi","DEF","STK",210
"Marc","Muniesa","DEF","STK",211
"Erik","Pieters","DEF","STK",212
"Ryan","Shawcross","DEF","STK",213
"Harry","Souttar","DEF","STK",214
"Konstantinos","Stafylidis","DEF","STK",215
"Josh","Tymon","DEF","STK",216
"Kevin","Wimmer","DEF","STK",217
"Kurt","Zouma","DEF","STK",218
"Kyle","Bartley","DEF","SWA",219
"Federico","Fernandez","DEF","SWA",220
"Stephen","Kingsley","DEF","SWA",221
"Alfie","Mawson","DEF","SWA",222
"Kyle","Naughton","DEF","SWA",223
"Martin","Olsson","DEF","SWA",224
"Angel","Rangel","DEF","SWA",225
"Connor","Roberts","DEF","SWA",226
"Joe","Rodon","DEF","SWA",227
"van","Hoorn","DEF","SWA",228
"Toby","Alderweireld","DEF","TOT",229
"Serge","Aurier","DEF","TOT",230
"Cameron","Carter-Vickers","DEF","TOT",231
"Ben","Davies","DEF","TOT",232
"Juan","Foyth","DEF","TOT",233
"Danny","Rose","DEF","TOT",234
"Davinson","Sanchez","DEF","TOT",235
"Kieran","Trippier","DEF","TOT",236
"Jan","Vertonghen","DEF","TOT",237
"Kyle","Walker-Peters","DEF","TOT",238
"Miguel","Britos","DEF","WAT",239
"Craig","Cathcart","DEF","WAT",240
"Jose","Holebas","DEF","WAT",241
"Daryl","Janmaat","DEF","WAT",242
"Christian","Kabasele","DEF","WAT",243
"Younes","Kaboul","DEF","WAT",244
"Kiko","Femenia","DEF","WAT",245
"Adrian","Mariappa","DEF","WAT",246
"Brandon","Mason","DEF","WAT",247
"Joy","Mukena","DEF","WAT",248
"Sebastian","Prodl","DEF","WAT",249
"Molla","Wague","DEF","WAT",250
"Marvin","Zeegelaar","DEF","WAT",251
"Craig","Dawson","DEF","WBA",252
"Jonny","Evans","DEF","WBA",253
"Nathan","Ferguson","DEF","WBA",254
"Ali","Gabr","DEF","WBA",255
"Kieran","Gibbs","DEF","WBA",256
"Ahmed El-Sayed","Hegazi","DEF","WBA",257
"Kyle","Jameson","DEF","WBA",258
"Gareth","McAuley","DEF","WBA",259
"Max","Melbourne","DEF","WBA",260
"Allan-Romeo","Nyom","DEF","WBA",261
"Kane","Wilson","DEF","WBA",262
"Reece","Burke","DEF","WHU",263
"Sam","Byram","DEF","WHU",264
"James","Collins","DEF","WHU",265
"Aaron","Cresswell","DEF","WHU",266
"Jose","Fonte","DEF","WHU",267
"Arthur","Masuaku","DEF","WHU",268
"Angelo","Ogbonna","DEF","WHU",269
"Reece","Oxford","DEF","WHU",270
"Winston","Reid","DEF","WHU",271
"Declan","Rice","DEF","WHU",272
"Pablo","Zabaleta","DEF","WHU",273
"Santiago","Cazorla","MID","ARS",274
"Francis","Coquelin","MID","ARS",275
"Mohamed","Elneny","MID","ARS",276
"Alex","Iwobi","MID","ARS",277
"Ainsley","Maitland-Niles","MID","ARS",278
"Henrikh","Mkhitaryan","MID","ARS",279
"Reiss","Nelson","MID","ARS",280
"Mesut","Ozil","MID","ARS",281
"Aaron","Ramsey","MID","ARS",282
"Jack","Wilshere","MID","ARS",283
"Granit","Xhaka","MID","ARS",284
"Isaiah","Brown","MID","BHA",285
"Pascal","Gro?","MID","BHA",286
"","Izquierdo","MID","BHA",287
"Beram","Kayal","MID","BHA",288
"Anthony","Knockaert","MID","BHA",289
"Solomon","March","MID","BHA",290
"Jayson","Molumby","MID","BHA",291
"Jamie","Murphy","MID","BHA",292
"Oliver","Norwood","MID","BHA",293
"Davy","Propper","MID","BHA",294
"Steve","Sidwell","MID","BHA",295
"Jiri","Skalak","MID","BHA",296
"Dale","Stephens","MID","BHA",297
"Harry","Arter","MID","BOU",298
"Matt","Butcher","MID","BOU",299
"Ryan","Fraser","MID","BOU",300
"Dan","Gosling","MID","BOU",301
"Max","Gradel","MID","BOU",302
"Emerson","Hyndman","MID","BOU",303
"Jordon","Ibe","MID","BOU",304
"Lewis","Cook","MID","BOU",305
"Connor","Mahoney","MID","BOU",306
"Marc","Pugh","MID","BOU",307
"Junior","Stanislas","MID","BOU",308
"Andrew","Surman","MID","BOU",309
"Kyle","Taylor","MID","BOU",310
"Scott","Arfield","MID","BUR",311
"Robbie","Brady","MID","BUR",312
"Jack","Cork","MID","BUR",313
"Steven","Defour","MID","BUR",314
"Johann Berg","Gudmundsson","MID","BUR",315
"Jeff","Hendrick","MID","BUR",316
"Aaron","Lennon","MID","BUR",317
"Dean","Marney","MID","BUR",318
"Georges-Kevin","Nkoudou","MID","BUR",319
"Aiden","O'Neill","MID","BUR",320
"Fredrik","Ulvestad","MID","BUR",321
"Jonathan","Walters","MID","BUR",322
"Ashley","Westwood","MID","BUR",323
"Ethan","Ampadu","MID","CHE",324
"Tiemoue","Bakayoko","MID","CHE",325
"Ross","Barkley","MID","CHE",326
"Jeremie","Boga","MID","CHE",327
"Daniel","Drinkwater","MID","CHE",328
"Cesc","Fabregas","MID","CHE",329
"Eden","Hazard","MID","CHE",330
"Callum","Hudson-Odoi","MID","CHE",331
"N'Golo","Kante","MID","CHE",332
"Charly","Musonda","MID","CHE",333
"Kasey","Palmer","MID","CHE",334
"","Pedro","MID","CHE",335
"Kyle","Scott","MID","CHE",336
"","Willian","MID","CHE",337
"Yohan","Cabaye","MID","CRY",338
"Sullay","Kaikai","MID","CRY",339
"Lee","Chung-yong","MID","CRY",340
"Ruben","Loftus-Cheek","MID","CRY",341
"Jason","Lokilo","MID","CRY",342
"Levi","Lumeka","MID","CRY",343
"James","McArthur","MID","CRY",344
"Luka","Milivojevic","MID","CRY",345
"Jordon","Mutch","MID","CRY",346
"Jason","Puncheon","MID","CRY",347
"Erdal","Rakip","MID","CRY",348
"Bakary","Sako","MID","CRY",349
"Andros","Townsend","MID","CRY",350
"Aaron","Wan-Bissaka","MID","CRY",351
"Wilfried","Zaha","MID","CRY",352
"Beni","Baningime","MID","EVE",353
"Muhamed","Besic","MID","EVE",354
"Yannick","Bolasie","MID","EVE",355
"Tom","Davies","MID","EVE",356
"Idrissa","Gueye","MID","EVE",357
"Davy","Klaassen","MID","EVE",358
"Ademola","Lookman","MID","EVE",359
"James","McCarthy","MID","EVE",360
"Kevin","Mirallas","MID","EVE",361
"Morgan","Schneiderlin","MID","EVE",362
"Gylfi","Sigurdsson","MID","EVE",363
"Nikola","Vlasic","MID","EVE",364
"Theo","Walcott","MID","EVE",365
"Philip","Billing","MID","HUD",366
"Harry","Bunn","MID","HUD",367
"Jonathan","Hogg","MID","HUD",368
"Tom","Ince","MID","HUD",369
"Elias","Kachunga","MID","HUD",370
"Joe","Lolley","MID","HUD",371
"Aaron","Mooy","MID","HUD",372
"Jack","Payne","MID","HUD",373
"Alex","Pritchard","MID","HUD",374
"Abdelhamid","Sabiri","MID","HUD",375
"Sean","Scannell","MID","HUD",376
"van","Parra","MID","HUD",377
"Dean","Whitehead","MID","HUD",378
"Danny","Williams","MID","HUD",379
"Marc","Albrighton","MID","LEI",380
"Daniel","Amartey","MID","LEI",381
"Hamza","Choudhury","MID","LEI",382
"Demarai","Gray","MID","LEI",383
"Vicente","Iborra","MID","LEI",384
"Matty","James","MID","LEI",385
"Riyad","Mahrez","MID","LEI",386
"Nampalys","Mendy","MID","LEI",387
"Ahmed","Musa","MID","LEI",388
"Wilfred","Ndidi","MID","LEI",389
"","Silva","MID","LEI",390
"George","Thomas","MID","LEI",391
"Emre","Can","MID","LIV",392
"","Chamberlain","MID","LIV",393
"Philippe","Coutinho","MID","LIV",394
"Marko","Grujic","MID","LIV",395
"Jordan","Henderson","MID","LIV",396
"Adam","Lallana","MID","LIV",397
"Leiva","Lucas","MID","LIV",398
"Sadio","Mane","MID","LIV",399
"Mohamed","Salah","MID","LIV",400
"Sheyi","Ojo","MID","LIV",401
"Georginio","Wijnaldum","MID","LIV",402
"Ben","Woodburn","MID","LIV",403
"Bernardo","Silva","MID","MCI",404
"David","Silva","MID","MCI",405
"De","Bruyne","MID","MCI",406
"Fabian","Delph","MID","MCI",407
"Brahim","Diaz","MID","MCI",408
"","Fernandinho","MID","MCI",409
"","Fernando","MID","MCI",410
"Phil","Foden","MID","MCI",411
"Ilkay","Gundogan","MID","MCI",412
"","Nolito","MID","MCI",413
"Leroy","Sane","MID","MCI",414
"Raheem","Sterling","MID","MCI",415
"Yaya","Toure","MID","MCI",416
"Oleksandr","Zinchenko","MID","MCI",417
"Michael","Carrick","MID","MUN",418
"Marouane","Fellaini","MID","MUN",419
"Ander","Herrera","MID","MUN",420
"Jesse","Lingard","MID","MUN",421
"Anthony","Martial","MID","MUN",422
"Juan","Mata","MID","MUN",423
"Nemanja","Matic","MID","MUN",424
"Scott","McTominay","MID","MUN",425
"Andreas","Pereira","MID","MUN",426
"Paul","Pogba","MID","MUN",427
"Alexis","Sanchez","MID","MUN",428
"Ashley","Young","MID","MUN",429
"Rolando","Aarons","MID","NEW",430
"Christian","Atsu","MID","NEW",431
"Jack","Colback","MID","NEW",432
"de","Jong","MID","NEW",433
"Mohamed","Diame","MID","NEW",434
"Yoan","Gouffran","MID","NEW",435
"Isaac","Hayden","MID","NEW",436
"","Kenedy","MID","NEW",437
"Mikel","Merino","MID","NEW",438
"Jacob","Murphy","MID","NEW",439
"Matt","Ritchie","MID","NEW",440
"Henri","Saivet","MID","NEW",441
"Jonjo","Shelvey","MID","NEW",442
"Sofiane","Boufal","MID","SOU",443
"Jordy","Clasie","MID","SOU",444
"Steven","Davis","MID","SOU",445
"Pierre-Emile","H?jbjerg","MID","SOU",446
"Mario","Lemina","MID","SOU",447
"Oriol","Romeu","MID","SOU",448
"Nathan","Redmond","MID","SOU",449
"Joshua","Sims","MID","SOU",450
"Dusan","Tadic","MID","SOU",451
"James","Ward-Prowse","MID","SOU",452
"Charlie","Adam","MID","STK",453
"Ibrahim","Afellay","MID","STK",454
"Joe","Allen","MID","STK",455
"Badou","Ndiaye","MID","STK",456
"","Bojan","MID","STK",457
"Eric Maxim","Choupo-Moting","MID","STK",458
"Darren","Fletcher","MID","STK",459
"Giannelli","Imbula","MID","STK",460
"Stephen","Ireland","MID","STK",461
"","Jese","MID","STK",462
"Xherdan","Shaqiri","MID","STK",463
"Ramadan","Sobhi","MID","STK",464
"Glenn","Whelan","MID","STK",465
"Andre","Ayew","MID","SWA",466
"Modou","Barrow","MID","SWA",467
"Leon","Britton","MID","SWA",468
"Tom","Carroll","MID","SWA",469
"Sam","Clucas","MID","SWA",470
"Nathan","Dyer","MID","SWA",471
"Leroy","Fer","MID","SWA",472
"Jay","Fulton","MID","SWA",473
"Ki","Sung-yueng","MID","SWA",474
"Andy","King","MID","SWA",475
"Roque","Mesa","MID","SWA",476
"Jefferson","Montero","MID","SWA",477
"Luciano","Narsingh","MID","SWA",478
"Wayne","Routledge","MID","SWA",479
"Renato","Sanches","MID","SWA",480
"Bamidele","Alli","MID","TOT",481
"Mousa","Dembele","MID","TOT",482
"Eric","Dier","MID","TOT",483
"Christian","Eriksen","MID","TOT",484
"Erik","Lamela","MID","TOT",485
"Lucas","Moura","MID","TOT",486
"Tashan","Oakley-Boothe","MID","TOT",487
"Moussa","Sissoko","MID","TOT",488
"Heung-Min","Son","MID","TOT",489
"Victor","Wanyama","MID","TOT",490
"Harry","Winks","MID","TOT",491
"Nordin","Amrabat","MID","WAT",492
"Valon","Behrami","MID","WAT",493
"Steven","Berghuis","MID","WAT",494
"Etienne","Capoue","MID","WAT",495
"Andre","Carrillo","MID","WAT",496
"Nathaniel","Chalobah","MID","WAT",497
"Tom","Cleverley","MID","WAT",498
"Gerard","Deulofeu","MID","WAT",499
"Abdoulaye","Doucoure","MID","WAT",500
"Will","Hughes","MID","WAT",501
"Dodi","Lukebakio","MID","WAT",502
"Didier","Ndong","MID","WAT",503
"Roberto","Pereyra","MID","WAT",504
"","Richarlison","MID","WAT",505
"Carl","Stewart","MID","WAT",506
"Isaac","Success","MID","WAT",507
"Ben","Watson","MID","WAT",508
"Gareth","Barry","MID","WBA",509
"Chris","Brunt","MID","WBA",510
"Oliver","Burke","MID","WBA",511
"Nacer","Chadli","MID","WBA",512
"Sam","Field","MID","WBA",513
"Rekeem","Harper","MID","WBA",514
"Grzegorz","Krychowiak","MID","WBA",515
"Jonathan","Leko","MID","WBA",516
"Jake","Livermore","MID","WBA",517
"James","McClean","MID","WBA",518
"James","Morrison","MID","WBA",519
"Matt","Phillips","MID","WBA",520
"Claudio","Yacob","MID","WBA",521
"Michail","Antonio","MID","WHU",522
"Marko","Arnautovic","MID","WHU",523
"Josh","Cullen","MID","WHU",524
"Sofiane","Feghouli","MID","WHU",525
"Edimilson","Fernandes","MID","WHU",526
"Sead","Haksabanovic","MID","WHU",527
"Joao","Mario","MID","WHU",528
"Ben","Johnson","MID","WHU",529
"Cheikhou","Kouyate","MID","WHU",530
"Manuel","Lanzini","MID","WHU",531
"Moses","Makasi","MID","WHU",532
"Mark","Noble","MID","WHU",533
"Pedro","Obiang","MID","WHU",534
"Domingos","Quina","MID","WHU",535
"Robert","Snodgrass","MID","WHU",536
"Pierre-Emerick","Aubameyang","FWD","ARS",537
"Alexandre","Lacazette","FWD","ARS",538
"Edward","Nketiah","FWD","ARS",539
"Lucas","Perez","FWD","ARS",540
"Danny","Welbeck","FWD","ARS",541
"Sam","Baldock","FWD","BHA",542
"Tomer","Hemed","FWD","BHA",543
"Jurgen","Locadia","FWD","BHA",544
"Glenn","Murray","FWD","BHA",545
"Leonardo","Ulloa","FWD","BHA",546
"Benik","Afobe","FWD","BOU",547
"Jermain","Defoe","FWD","BOU",548
"Joshua","King","FWD","BOU",549
"Lys","Mousset","FWD","BOU",550
"Callum","Wilson","FWD","BOU",551
"Ashley","Barnes","FWD","BUR",552
"Sam","Vokes","FWD","BUR",553
"Nahki","Wells","FWD","BUR",554
"Chris","Wood","FWD","BUR",555
"Michy","Batshuayi","FWD","CHE",556
"","Costa","FWD","CHE",557
"Olivier","Giroud","FWD","CHE",558
"Alvaro","Morata","FWD","CHE",559
"Keshi","Anderson","FWD","CRY",560
"Christian","Benteke","FWD","CRY",561
"Olayinka Fredrick Oladotun","Ladapo","FWD","CRY",562
"Alexander","S?rloth","FWD","CRY",563
"Connor","Wickham","FWD","CRY",564
"Dominic","Calvert-Lewin","FWD","EVE",565
"Oumar","Niasse","FWD","EVE",566
"Wayne","Rooney","FWD","EVE",567
"","Sandro","FWD","EVE",568
"Cenk","Tosun","FWD","EVE",569
"Laurent","Depoitre","FWD","HUD",570
"Steve","Mounie","FWD","HUD",571
"Collin","Quaner","FWD","HUD",572
"Fousseni","Diabate","FWD","LEI",573
"Kelechi","Iheanacho","FWD","LEI",574
"Shinji","Okazaki","FWD","LEI",575
"Jamie","Vardy","FWD","LEI",576
"Roberto","Firmino","FWD","LIV",577
"Danny","Ings","FWD","LIV",578
"Divock","Origi","FWD","LIV",579
"Dominic","Solanke","FWD","LIV",580
"Sergio","Aguero","FWD","MCI",581
"","Jesus","FWD","MCI",582
"Zlatan","Ibrahimovic","FWD","MUN",583
"Romelu","Lukaku","FWD","MUN",584
"Marcus","Rashford","FWD","MUN",585
"Dwight","Gayle","FWD","NEW",586
"","Joselu","FWD","NEW",587
"Aleksandar","Mitrovic","FWD","NEW",588
"Daryl","Murphy","FWD","NEW",589
"Ayoze","Perez","FWD","NEW",590
"Islam","Slimani","FWD","NEW",591
"Charlie","Austin","FWD","SOU",592
"Guido","Carrillo","FWD","SOU",593
"Manolo","Gabbiadini","FWD","SOU",594
"Shane","Long","FWD","SOU",595
"Michael","Obafemi","FWD","SOU",596
"Saido","Berahino","FWD","STK",597
"Peter","Crouch","FWD","STK",598
"Mame Biram","Diouf","FWD","STK",599
"Julien","Ngoy","FWD","STK",600
"Tammy","Abraham","FWD","SWA",601
"Wilfried","Bony","FWD","SWA",602
"Jordan","Ayew","FWD","SWA",603
"Oliver","McBurnie","FWD","SWA",604
"Vincent","Janssen","FWD","TOT",605
"Harry","Kane","FWD","TOT",606
"Fernando","Llorente","FWD","TOT",607
"Troy","Deeney","FWD","WAT",608
"Michael","Folivi","FWD","WAT",609
"Andre","Gray","FWD","WAT",610
"Stefano","Okaka","FWD","WAT",611
"Jerome","Sinclair","FWD","WAT",612
"Mauro","Zarate","FWD","WAT",613
"Hal","Robson-Kanu","FWD","WBA",614
"Jay","Rodriguez","FWD","WBA",615
"Salomon","Rondon","FWD","WBA",616
"Daniel","Sturridge","FWD","WBA",617
"Rayhaan","Tulloch","FWD","WBA",618
"Andy","Carroll","FWD","WHU",619
"","Chicharito","FWD","WHU",620
"Ashley","Fletcher","FWD","WHU",621
"Jordan","Hugill","FWD","WHU",622
"","Martinez","FWD","WHU",623
"Diafra","Sakho","FWD","WHU",624
"Enner","Valencia","FWD","WHU",625
